Page,Source,Comment,Sentiment 
42,Glassdoor,"Competitive Salary: Emirates offers a decent salary with additional allowances like flight and layover pay. The base salary for cabin crew may vary, but it’s generally seen as above average for international airlines. Travel Opportunities: The most obvious perk is the chance to travel around the world. Emirates flies to many countries, so cabin crew members get to visit new cities and cultures. Accommodation: Emirates provides accommodation or a generous accommodation allowance, which is particularly useful if you’re based in Dubai (the airline’s hub) and need a place to live. Tax-Free Salary: Salaries are tax-free in Dubai, which means you get to keep all your earnings, making it a very attractive financial benefit. Health & Medical Benefits: Emirates provides comprehensive health insurance for its cabin crew members, including dental and vision care. Free Flights: Employees get free flights for themselves, and usually for their immediate family as well, depending on the policies at the time. This benefit extends to both personal and work travel. Career Progression: Emirates is a global airline with a solid reputation, so working there can provide you with numerous opportunities for career development. Some cabin crew members get promoted to senior positions or even move into other roles within the company. Cultural Exposure: Working with colleagues from all over the world exposes you to a wide range of cultures and perspectives, which can be incredibly enriching personally and professionally.",1
42,Glassdoor,benefits of traveling is great.,1
42,Glassdoor,Travel Benefit for myself and family Competitive package Number of destinations,1
43,Glassdoor,"Nothing positive about this company except pay, and some incentives",1
43,Glassdoor,Very cheap travel Free accommodation and no bills,1
43,Glassdoor,Pros are little to none- Discounted flight tickets that are almost impossible to get,1
43,Glassdoor,"Travel, staying in some very nice hotels, yearly bonus (for the years I have been there), meeting some amazing people, living in Dubai, getting accommodation and travel to work for free (with opportunities to move out of accommodation and receive allowances in certain circumstances), tax free salary, good destinations.",1
43,Glassdoor,Good work environment and good growth workplace,1
44,Glassdoor,"Travel Benefits, discounts and flexibility",1
44,Glassdoor,"Great company, lots of support and amazing benefits",1
44,Glassdoor,living in Dubai and paid accommodation,1
44,Glassdoor,#NAME?,1
44,Glassdoor,"Flexible schedules, chance to swap shifts and roster, discounts on flight tickets",1
45,Glassdoor,"Travel, mentoring, training, and benefits",1
45,Glassdoor,Great culture and brand identity,1
45,Glassdoor,"Flying benefits, medical benefits, nice uniform",1
45,Glassdoor,Cheap travel for all employees,1
45,Glassdoor,"travel , other people , location",1
46,Glassdoor,Salary is good with other perks.,1
46,Glassdoor,Get to see the world,1
46,Glassdoor,Great place to work with,1
46,Glassdoor,Tax free pay. Rent paid for,1
46,Glassdoor,Good colleagues pleasant working environment,1
47,Glassdoor,Good to travel the world,1
47,Glassdoor,"Flexible
Traveling
Benefits
Salary
Global",1
47,Glassdoor,Benefits are great and travelling with the company is always appreciated,1
47,Glassdoor,good for la-la-land mindset people,1
47,Glassdoor,"Nice job, salary and perks",1
48,Glassdoor,Best Airlines in the current market,1
48,Glassdoor,"Good benefits, provided accommodation, transportation",1
48,Glassdoor,travel the world and work with fun people,1
48,Glassdoor,if you like to travel the world its the best job for you,1
48,Glassdoor,"Good pay
Good accommodation
Good experience",1
49,Glassdoor,"Benefits
Staff travel
Fair compensation",1
49,Glassdoor,"Flight benefits, lots of days off",1
49,Glassdoor,Great benefits and standard of living,1
49,Glassdoor,"Exciting travel opportunities, good pay",1
49,Glassdoor,"Salary destinations good hotels, accommodation",1
50,Glassdoor,"Travel, salary, allowances, accommodation provided/allowance, marriage benefits",1
50,Glassdoor,"seeing the world
5 star hotels",1
50,Glassdoor,You like working 12 hour a day starting 5am or 5pm? Admire seeing aircraft’s landing and takeoffs. Thrive findi by yourself in a multicultural crowd of passengers and fellow colleagues? Then that place is for you,1
50,Glassdoor,Travelling at night when you should be sleeping.,1
50,Glassdoor,The company will take care of you so long as you show up to every flight and do what is required of you.,-1
1,Glassdoor,Hight prices for it’s service,-1
1,Glassdoor,No remote working Lack of flexibility Annual Leave can only be taken once accrued No relocation package Difficult to move Lack of encouragement on career progression,-1
1,Glassdoor,Working hours managment lack of days off,-1
1,Glassdoor,"Long hours
Unstable routine / sleep",-1
1,Glassdoor,"very physically demanding job, jetlags",-1
2,Glassdoor,Long shifts and irregular schedule,-1
2,Glassdoor,- they don't commit to the employees they hire and you can get terminated even during probation with 7 days notice period (against 14 days by law) - I was told from day 1 after joining that I have no career growth opportunities by my line manager,-1
2,Glassdoor,"Management control your life, no regard for mental health",-1
2,Glassdoor,"Pressure at work, strict rules",-1
2,Glassdoor,no cons during my 11 years here,-1
3,Glassdoor,Schedule however you sign up for the same,-1
3,Glassdoor,Not flexible on home working,-1
3,Glassdoor,"- A highly demanding job, and as you progress across the cabin, the workload becomes much higher despite having fewer customers. - Workload for this job is one of the highest I've ever seen in any field. You're expected to give a 100% to 100s of customers for extended hours with minimum to no rest while dealing with passengers who have much higher standards than what is offered. - Management style is very strict; shortfalls or errors are met with disciplinary action without proper guidance. - Attendance is treated as a sacred metric; being sick 3 times within 6 months is met with warnings and attendance concerns, even if it's valid by the company clinic. - Medical insurance is through the company clinic, which delays the process of getting medical treatment through the network by having to wait to get an appointment through the company clinic, which could take days, if not weeks. - No proper vision set by management. Invests millions in enhancing product and service with a focus on hospitality however, all communication by management shows a strong gap in adapting a ""people first"" approach.",-1
3,Glassdoor,Shifts are a bit hard to handle,-1
3,Glassdoor,No rest provided you have fly for hours,-1
4,Glassdoor,"Physically demanding, schedules can be very busy",-1
4,Glassdoor,Management lacks professionalism most of the time,-1
4,Glassdoor,"challenging work timing, u work and you get the best",-1
4,Glassdoor,"Slow growth
Salary less comparison to work",-1
4,Glassdoor,typical corporation that does not listen to the needs of its employees,-1
5,Glassdoor,Supervisors can be very toxic and document every minor thing if you're nit perfect,-1
5,Glassdoor,High pressure and very demanding,-1
5,Glassdoor,no remote work everrr ever,-1
5,Glassdoor,- 8.5 hours in office - No growth - legacy tech,-1
5,Glassdoor,"no cons
its always good to work in worlds leading Airline",-1
6,Glassdoor,Sleep deprivation with long-term effects Stressful monthly performance reviews Transactional management Censorship in social media Strict dress code Vengeful supervisors Lack of clarity on future developments HR superficially supports employees Anchoring on 20th-century management habits,-1
6,Glassdoor,"Tough hiring process.
Office politics",-1
6,Glassdoor,"No growth
Politics
PSEs, ADL are not supportive",-1
6,Glassdoor,Most of the times you get back to back flights.,-1
6,Glassdoor,long hours lonely sometimes some managers unhelpful,-1
7,Glassdoor,Very competitive training to qualify as pilot,-1
7,Glassdoor,"Exhausting and inhumane working hours, minimum rest, way too much pressure and stress, overworked, radiation, health risk, toxic environment, oblivious cruel management, little freedom, far away from home, family and friends, etc…",-1
7,Glassdoor,Career growth is slow and less defined,-1
7,Glassdoor,Flights often full for staff travel,-1
7,Glassdoor,not any work life balance,-1
8,Glassdoor,"Long hours, toxic environment, unhappy place",-1
8,Glassdoor,"stressful
leave whenever you can get not when you need",-1
8,Glassdoor,"Toxic environment and micromanagement, to achieve something you need to stay long time in the company",-1
8,Glassdoor,Some teams have projects with old tech stacks,-1
8,Glassdoor,"Long hours, lots of flying and hard work",-1
9,Glassdoor,Not that much but tight deadlines,-1
9,Glassdoor,Very uncertainty anytime they will fire,-1
9,Glassdoor,"long working hours, long time away from home (family), physically demanding, shift work, your body takes a toll, this job requires a very social person, while the long times away from home will affect your personal social life drastically. It's definitely not for everyone !",-1
9,Glassdoor,Long hours. Mutual respect isn’t a thing within the hierarchy,-1
9,Glassdoor,"Not too specefic, individual perspective varies",-1
10,Glassdoor,"Long hours, away from family",-1
10,Glassdoor,No opportunities for qualified pp Report culture Fear culture Irracional rules not updated,-1
10,Glassdoor,#NAME?,-1
10,Glassdoor,"As they give you a lot, they expect a lot in return which might be overwhelming but understandable.",-1
10,Glassdoor,"Unfair distribution of flying hours, leave out allowances only for married employees or immediate family members, and unjust distribution of living accommodations. Poor medical coverage - due to incompetent medical professionals hired by the Emirates Group.",-1
11,Glassdoor,Many hours but this is the job,-1
11,Glassdoor,No salary increase and long hours,-1
11,Glassdoor,Exhausting and very stressful environment,-1
11,Glassdoor,Chaotic schedule and tiring lifestyle,-1
11,Glassdoor,“Focus more on employee development”,-1
12,Glassdoor,Keep up the good work.,-1
12,Glassdoor,God forbid you meet a bad manager The workplace is exciting based on the manager you get. I have had both and I feel I had the best time with a manager who was inclusive and worked equally hard as all of us. Then I had a manager who was busy playing politics and sabotaging.,-1
12,Glassdoor,None that I can think of,-1
12,Glassdoor,The timings are hectic now,-1
12,Glassdoor,Workload with no or limited assistance.,-1
13,Glassdoor,"Very tiring, often treated poorly by passengers and seniors, lonely, very difficult to get time off if something happens, can fire you over weight and skin issues",-1
13,Glassdoor,Some toxic people working there. At times there is no manpower. Can be stressful.,-1
13,Glassdoor,"The work environment, office politics",-1
13,Glassdoor,"Fast paced environment
Limited Growth",-1
13,Glassdoor,Long flight - a lot of rules,-1
14,Glassdoor,The hours can affect your sleep as you travel at all different times,-1
14,Glassdoor,A lot of favoritism and racism (from contractors) in the MIA station.,-1
14,Glassdoor,Sometimes you don't know when you are traveling.,-1
14,Glassdoor,"Cabin crew often have too many flying hours in their rosters, which can lead to fatigue.",-1
14,Glassdoor,Tough work times [especially if you have family] Salary Most people don't take you seriously,-1
15,Glassdoor,"No rutine, different enviroment each week",-1
15,Glassdoor,"Different shifts, no routine, jet lag",-1
15,Glassdoor,Long working hours when flying.,-1
15,Glassdoor,I could learn more about Aircraft maintenance and automatic docking,-1
15,Glassdoor,Away from home and family,-1
16,Glassdoor,Strict rules and constant evaluations,-1
16,Glassdoor,management and rude crew members,-1
16,Glassdoor,"Nothing to complaint, good environment",-1
16,Glassdoor,No growth. Was forced to start as a consultant (no benefits) and had to fight till after four years was absorbed into the company. Was promised promotions based on performance but manager changed 4 times. At the end of a decade was made redundant illogically. Compensation was quite poor.,-1
16,Glassdoor,#NAME?,-1
17,Glassdoor,"The infrastructure is extremely outdated and difficult to modernize. Technical decisions are constrained by legacy systems, and even basic improvements become unnecessarily complex. Remote work is completely forbidden, with absolutely no flexibility offered to employees. HR controls nearly every aspect of the organization, and managers have no real authority to support their teams or make decisions. Employees are required to check in and out even for basic needs like bathroom breaks, which reflects a deep lack of trust and creates a culture of surveillance rather than support. The workload is overwhelming, and employees are stuck in meetings all day with little time to actually get work done. The company is full of internal politics, and people often throw others under the bus to protect their own positions. The environment is highly political and self-preserving, where collaboration is often undermined by fear and blame-shifting. The workforce is saturated with Indian employees, and teaming tends to happen within those circles, making cross-team collaboration difficult and exclusionary. Newcomers and international staff often feel isolated and excluded, with little effort made to integrate diverse perspectives. If you're from overseas, expect no privacy—your personal details may be accessed and discussed without your consent. The culture looks polished from the outside but is toxic and exclusionary inside. There’s no psychological safety, and you're constantly monitored and micromanaged. Bureaucracy is everywhere, and even small decisions require multiple layers of approval. The environment is high-pressure, low-trust, and mentally draining, with little regard for employee well-being or long-term sustainability. At the cultural level, internal politics dominate, and exclusionary behavior is normalized. At the structural level, diversity is lacking, and integration is minimal. The result is a workplace that feels more like a control system than a collaborative environment. Corruption is everywhere. People form groups to get benefits and protect their positions. It’s not about doing good work—it’s about who you know and how well you play the system.",-1
17,Glassdoor,HR support - hard to get a point of contact when in urgency,-1
17,Glassdoor,"Exhausting job, terrible shifts, bad pay",-1
17,Glassdoor,"No cons in mind , Just great",-1
17,Glassdoor,flexi hours not there which is an issue,-1
18,Glassdoor,I Think you have to take responsibility and sometimes you have to work under pressure. Anyways you will get used to it m,-1
18,Glassdoor,Management style is mostly micro management,-1
18,Glassdoor,Moving to unpreferred working location.,-1
18,Glassdoor,Overworked undervalued bad progression and staff turnover,-1
18,Glassdoor,A little bit rigid when it comes to collaboration,-1
19,Glassdoor,24/7 operations. Demanding clients. Shift work. Rotating roster.,-1
19,Glassdoor,"Irregular shifts, Slow growth within the company",-1
19,Glassdoor,"Amazing, recommended, no cons, the best",-1
19,Glassdoor,stay for long time to work,-1
19,Glassdoor,Salary is not very good,-1
20,Glassdoor,horrible environment fear culture mean and cruel management no appreciation bullying culture,-1
20,Glassdoor,Jetlag is hard to deal with,-1
20,Glassdoor,Fatigue Lonely at times Living in the heat of Dubai,-1
20,Glassdoor,"Very physically demanding job, mentally draining from the quality of people you have to deal with on every day basis.",-1
20,Glassdoor,Some company accommodation is in horrendous location/conditions - very unfair and hard to swap Fear and reporting culture is rife Poor leadership amongst seniors Short layovers for ULR flights and short breaks - fatigue,-1
21,Glassdoor,Shift work may not be for everyone.,-1
21,Glassdoor,You will need to meet a lot of different standards,-1
21,Glassdoor,"They don’t value their staff. They’re threatening you “politely” for calling sick. Insurance is the worst, you can’t go to any doctor without prior approval (that takes full day to come to the office to their doctor to give you a referral). Sometimes they just say there’s no need to see the specialist (but it’s your right and you always have to make up things to get a referral)",-1
21,Glassdoor,"Live overseas. Also just a number to the company, company makes you feel easily replaceable. If anything happens, complaints are not heard. Often unecessarily punished for small things.",-1
21,Glassdoor,Not any at the moment.,-1
22,Glassdoor,No work-life balance. Toxic work environment.,-1
22,Glassdoor,work from office everyday no flexibility,-1
22,Glassdoor,Toxic company culture Constantly harassed for being sick Micromanaged on board Reporting/backstabbing culture,-1
22,Glassdoor,Work-life imbalance for some employees,-1
22,Glassdoor,"Bad management , toxic environment and pressure. Not worth it ..",-1
23,Glassdoor,Toxic leadership with seniors and HQ managers,-1
23,Glassdoor,"No work life balance, you constantly work only. You get fatigue and burn out during the first month of flying. Due to tiredness you won't be able to ""travel the world"".",-1
