id,source,comment,sentiment
64,YouTube,"Congratulations on your marriage and the arrival of your child! As a fellow flight attendant, I can definitely relate to the unique challenges and rewards of the job. I've been fortunate to work for my national airline, which offers a more balanced workload compared to the demands of Emirates. That being said, while I don't see this as a lifelong career for myself, it's been an incredible journey that I wouldn’t trade for anything.",
65,YouTube,"Former Emirates business class crew here. Am I grateful for this experience? - hell yes. Is it worth it to sacrifice your physical and mental health ? - hell no. Is it worth it to sacrifice your future potential (opportunity cost) ? - no. I quit few months ago. I would never go back no matter how much money you'd pay me. Like you mentioned - the excitement, travels and those artificial dopamine hits they fade away. Actually I am in the process of healing (mostly mentally) from this job, it's getting better with every passing day. You never know how happy and at peace you can get if you ditch things that drain you, and make space for little things that bring you peace.",
66,YouTube,"I left in january 2024 as a stewart in royal air Maroc for 16 y expérience i left everything behind, now i have new directions, i know what means family parents , eating on time , sleeping very very well , anyway plz dont be fooled by that job , live your life , good luck and love for everyone ❤",
67,YouTube,"I was considering to get this job but after learning the cons, I'm better off with other jobs or own business. Health is wealth. Everything than shines isn't gold.",
68,YouTube,"The salary is not that good, at least not for our standards. So with everything else that was mentioned, sick days, contract...not worth it, imo.",
69,YouTube,"The system is perfectly calibrated to retain only young, healthy, and enthusiastic professionals. Older or more fatigued ones are naturally pushed aside. If you are against capitalism, do not work at Emirates. But thanks to capitalism, the world benefits globally from the best airline ever.",
70,YouTube,"Thank you for the video and I hope you are doing better now. I have a question; after few years as a cabin crew, what are the other jobs that you can apply to in order to espace the cabin crew career if it doesnt suit you ?",
71,YouTube,"thanks a lot but trust me honey ..everywhere you go you'll never find an airline with top notch service. they will come a point where you'll complain about the new airline or new job. there's always a hole in the goal. whether emirates has some bad things about it, any other Airline isn't 10 times better ill tell you. sometimes just suck it up and endure done. every job is full of labor so even if you'll complain it still does not change the fact about today's job industry. I'm not bashing but I'm just giving a hard truth about life insight. I want to be an emirates pilot and I know how scary my future will be but I've sucked it up and ill endure it for my happiness. No matter how bad it gets.. its something that builds you. Thanks for sharing and I hope my words can open up to the world. love you Ginger",
72,YouTube,My dad works for united as cabin crew and he has over 5-6k $ salary,
73,YouTube,"I am curious if we didn't finished the contract, do we need to pay the penalty? how much is it?",
74,YouTube,"Thank you for sharing such a detailed video! I really appreciate how you explained both the pros and cons so clearly. Honestly, it gave me a realistic picture of what to expect in this career. Right now, I’m in the process of applying to Emirates and I want to learn from every perspective — from preparing for the interview stage to actually managing the workload once I start the job. I also want to make sure that I can balance my finances wisely so that even if I decide to move on after 5 to 10 years, I’ll have a strong backup amount saved for my future. Your content is truly inspiring and helpful for people like me who are starting this journey. Looking forward to learning more from your experiences! ✈️🙏",
75,YouTube,"I am a cabin crew right now. I have been working for the same airline for 13 years. If you are reading this and are thinking about applying to become a flight attendant, please do evaluate if you are willing to sacrifice your private life to a job. Because you will miss out on so many life events if you accept this lifestyle. If I were to be 25 again, I would rather consider to get myself a degree in any field I am passionate about. There are so many other jobs in this world, so there must be something else that could be a good fit for you. All those years, I will never get back, I am thankful for the experience but I know that this is not what I will do for the next years to come. And if you decide to become a cabin crew, you must know that the only way to climb for higher positions within the company, is to be friends with the leaders. Just become their best friend. Good luck.",
76,YouTube,Hi! I'm in high school and working as cabin crew for emirates is my dream. I'm planning to apply when I'm 21 (im 15 and already planning my resume lol) but I'm worried they don't often hire Americans because I've never seen an American cabin crew member on social media so I was wondering if you met any American cabin crew members?,
77,YouTube,"I would suggest reconsidering the title of your video to something more appropriate, such as ""Why You Should Not Pursue a Career as Cabin Crew,"" as the disadvantages you've outlined are inherent to the profession itself, rather than being specific to any particular airline. The challenges you've highlighted—including disrupted sleep patterns, irregular schedules, and limited opportunities for meaningful social interaction with family and friends—are universal aspects of working as cabin crew, regardless of which airline employs you. These are occupational hazards that come with the territory of working in aviation. Furthermore, based on the information presented in your video, it appears that the compensation package and benefits offered by Emirates are quite substantial and potentially lucrative. These benefits seem to significantly outweigh many of the drawbacks you've mentioned, particularly when compared to other airlines that typically do not provide such comprehensive incentive packages or perks to their cabin crew members. Your assessment strikes me as fundamentally biased and lacks objective perspective. It appears that you may have entered this profession without fully understanding its demands and requirements. Rather than providing a balanced review of working for Emirates specifically, your critique seems to stem from a general dissatisfaction with career choices that you perhaps should have researched more thoroughly before committing to this line of work. Your complaints appear to be more about the nature of the job itself rather than any shortcomings specific to Emirates as an employer.",
78,YouTube,Should I include my erasmus+ training courses in my emirates cv? They helped me develop lots of soft skills like team working and stress management,
79,YouTube,"What I cannot understand is the high turnover. If they treated the staff better, with more free time etc. People would not want to resign. Surely that would work out cheaper than constantly having open days and spending 2 months training. More staff, treated better would in the long run save them money.",
80,YouTube,"the biggest problem with this job itself, not emirates alone, is SLEEP. your body is not made to sleep at random times especially as a lifestyle. it is very unhealthy to live like that. 10:33 shows me why this company (or industry?) sucks. you did not call out sick for 3 years then when you had the flu, these guys are up in arms. just amazing.",
81,YouTube,Is this case with cabin crews only? or in all other departments it will be the same?,
82,YouTube,"Hi thank you for very informative video. If you could reply me, does Emirates hire older cabin crew without any cabin crew experience? I've been a Health care worker for years and currently 35 yo. I've always wanted to be CC but life had different plans. But now I feel like that is my calling and I want to be one. Do you think I'd have a chance at 35 ?",
83,YouTube,"You know, in early 2020 I nearly became EK crew during my final year of university. However, as you are aware, global events stopped me from actually becoming one. As the years went on, I became a professional cleaner and vehicle mechanic. My pay is Ok-ok, but I know my skill set is valued in society today. I really don’t know if I should go back to apply again; after all, my 20s are coming to an end soon and I know there are plenty of younger people who are eager to sign up. It would be nice to know what life could have been if COVID never happened; I wouldn’t be who I am today but you know, you will never stop wondering what is on the other side of the fence.",
84,YouTube,Jobs not expecting people to get sick is Ridiculous. Even animals get sick.,
85,YouTube,Does Emirate hire fresher cabin crew?,
86,YouTube,Actually a 9 to 5 job is worst because it takes almost all your day,
87,YouTube,Sounds like a horrible place to work. Definitely would be toxic. You did the smart & healthy thing.,
88,YouTube,"I also resigned last year, best decision ever. Can I ask what are you doing now? are you working and in what field? and did you move out of Dubai? where are you living now? best of luck <3",
89,YouTube,That voice sounds like a cat sliding down a car panel. So you quit your job. Move on. Its not like you were curing kids of cancer. You were a waitress in the sky,
90,YouTube,"I would never do this kind of job even if you paid me 100k and that is sleep deprivation. No matter how fancy the lifestyle can be and the amount of travelling you do, getting shit quality of sleep will catch up with you in the end.",
91,YouTube,".my initial thought (especially when i was younger) was that being apart of the cabin crew was a dream because initially you only see everything at face value especially as a passenger, you think it would be fun, upbeat, getting to travel the world and never boring but as with any job at times the bad outweighs the good (hence why people leave jobs) I think sometimes people sell things as a dream job because it looks unique and fun but they don't talk about challenging situations or issues so its good that your painting a realistic light on the job and that its not as amazing at it seems.",
92,YouTube,Your first con is nonsense - when working for someone else you should always be doing your best,
93,YouTube,"helloo, can i ask you if they can move you to another city, or do you have to live in Dubai all the time. i don't understand like i supposed inside of usa there are different flights everyday accross the country, the cabin crew of those flights are located in dubai???",
94,YouTube,How much earn a newly join cabin crew in emirates?,
95,YouTube,"I applied for Emirates the first time a year ago, and had to travel 3 hours to get there. It was good and I was excited but when I got rejected, I got really upset. The 2nd time was last July and I made it to the final interview when I didn’t expect it!! Got really excited and still got rejected. Applied for a third time and got eliminated from the 2nd group activity. Applied 2 days ago and the assessment is in a few hours and I got an invitation and I suddenly decided that I’m not going. I’m not sure anymore if it’s worth chasing or if this career is worth all of the hassle. I personally want to travel soooo bad! But looking at the technics of the airline’s recruitment process, it’s all making me feel eerie and I feel something is off which made me unsure if I still want this career or not or is it even that boujee lifestyle and that insane amount of money worth all that or not. I feel like I’m heavily influenced by how they want all of us to perceive the cabin crew life which made me chase it that hard when in reality it’s tough and worth a huge cost of the human side. That’s why they’re consistently hiring. I hate how they’re constantly playing with your nerves and put you on a rollercoaster in the hiring process so I can’t imagine how it is like inside the actual job!",
96,YouTube,How to apply for this job . Please explain,
97,YouTube,Emirates sounds like a toxic work environment.,
98,YouTube,"here afrter getting my resume rejected for the 5th time , its funny how they expect 22 yr to have experience , I cannot ? , I've nailed every airline interview I've ever been to , given air India interview qualified but did not sign contract becoz I was in university , tried Wizz air Abu Dhabi and they kept me in holding pool for one year and told me to come to the interview again inn which they failed me after interviewing for 5 mins ? , this year I qualified for Singapore airlines and they are saying they will take 6 months to recruit us .... I'm so fucking unlucky and I'm scared because they will pull another wizz air Abu Dhabi on me . ill be devastated , nobody understands how hard it is to apply as a crew from a brown family yet god keeps on testing e . in fact my dad won't let me pursue cabin crew career if I'm not employed by this year . CRUEL AND HARSH WORLD INDEED . but idc now I'll happily say goodbye to this career coz I'm tired of trying and giving up seems like the only way , although I'm so sad and crying while typing this comment",
99,YouTube,Am in my second year in University of Cape Coast Ghana offering hospitality management so i want to ask that do i have to complete with my course and have a year of experience before applying for Emirates cabin crew,
100,YouTube,"Stop chasing money all young girls. Why you waste most beautiful time in desert, Islamic country Do not join Emirate, Qatar, Saudi, Flydubai, Riyadh etc...... Arabic peoples consider all of you as just labour, or slave. Those countries peoples why not work ? So their DNA progressing or detonating ? Money is not everything. Pls use ur brain, Arabic Muslim look down on *",
101,YouTube,"I dreamt of becoming a cabin crew, but since I have a friend who shares the same sentiments with you, I made a shift. Now, I just want to be a regular guest who can afford business and first class seats HAHA!",
102,YouTube,"Hi , if you have any idea I’m currently working as a nurse and have been thinking about switching careers to become a pilot. I have a few questions I hope you can help with Is it even possible to make such a big career change from nursing to aviation? Is becoming a pilot something that’s realistically achievable, or is it only for people with a lot of financial resources? Are there people who have successfully made this switch and are now working for airlines? Is it a rare path or something that happens more often than people think? Thanks so much for any insights!",
103,YouTube,Some airlines still giving out ZED and ID tickets for former employees. Does Emirates do that too?,
104,YouTube,Did you worked for other airlines also? Is there a big difference between Emirates and other airlines?,
105,YouTube,"Yes, as a passenger we can really understand the stress what Emirates cabin crew have on their head.",
